data,dove,titolo,link
26 August 2016,Il Tirreno,"Terremoto, raccolta aiuti spontanea. Manca coordinamento, da Rieti arriva lo stop",http://iltirreno.gelocal.it/italia-mondo/2016/08/26/news/terremoto-l-aiuto-anche-non-richiesto-arriva-dal-basso-la-galassia-della-raccolta-beni-1.14015350
27 August 2016,Pratosfera.com,TerremotoCentroItalia.info: un aiuto dal basso nato tra Prato e Cento,http://www.pratosfera.com/2016/08/27/terremoto-centro-italia-info-aiuto-dal-basso/
27 August 2016,Slow News,"Terremoto, giornalismo e comunicazione in emergenza",http://wolf.slow-news.com/terremoto-giornalismo-comunicazione-emergenza/
28 August 2016,Cittadini di Twitter,Terremotocentroitalia.info un aiuto online per le popolazioni colpite dal sisma,http://www.cittadiniditwitter.it/news/terremotocentroitalia-info-un-aiuto-online-per-le-popolazioni-colpite-dal-sisma/
27 August 2016,Startup Italia,"Terremoto Centro Italia, il progetto di hacking civico per condividere le notizie (utili) sul sisma",http://thenexttech.startupitalia.eu/56630-20160827-terremoto-centro-italia-news-sito
28 August 2016,Forbes,Italy Earthquake: What The Italian Tech Community Is Doing,http://www.forbes.com/sites/federicoguerrini/2016/08/28/italy-earthquake-crowdfunding-campaign-raises-more-than-150000-in-one-day/#32135dd66bce
28 August 2016,Radio Perusia,#terremoto - Aggiornamenti,http://www.spreaker.com/user/radioperusia/terremoto-aggiornamenti
29 August 2016,Radio1,Tgr delle 13,http://www.rai.it/dl/grr/edizioni/ContentItem-e1374567-e840-4292-90e0-1a213c4ce887.html
29 August 2016,Wired.it,Che cosa stanno facendo gli attivisti digitali per il terremoto,http://www.wired.it/attualita/ambiente/2016/08/29/terremoto-centro-italia-terremoto-atttivisti/
29 August 2016,quibrianza.it,Terremoto: centinaia di attivisti digitali in aiuto delle popolazioni colpite,http://quibrianza.it/cronaca/terremoto-centinaia-di-attivisti-digitali-in-aiuto-delle-popolazioni-colpite.html
29 August 2016,Tiscali,"""Angeli del digitale"" al lavoro per aiutare chi opera nei territori colpiti dal sisma del Centro Italia",http://tecnologia.tiscali.it/socialnews/articoli/fancello/17497/-angeli-del-digitale-al-lavoro-per-aiutare-chi-opera-nei-territori-colpiti-dal-sisma-del-centro-italia/
29 August 2016,Volontariato Oggi,"
Terremoto, centinaia di attivisti digitali in aiuto delle popolazioni colpite",http://www.volontariatoggi.info/terremoto-centinaia-di-attivisti-digitali-in-aiuto-delle-popolazioni-colpite/
29 August 2016,Il Tirreno,"Amatrice prima e dopo il terremoto, vista dal satellite",http://iltirreno.gelocal.it/italia-mondo/2016/08/29/news/amatrice-prima-e-dopo-il-terremoto-vista-dal-satellite-1.14030877
30 August 2016,Quotidiano Piemontese,Il Terremoto del 24 Agosto 2016 in Centro Italia in un sito per condividere informazioni utili e verificate,http://www.quotidianopiemontese.it/testolibero/2016/08/30/terremoto-del-24-agosto-2016-centro-italia-un-sito-condividere-informazioni-utili-verificate/#.V8Vvr5OLRE4
30 August 2016,Radio Articolo 1,Emergenza e informazione dal basso,http://www.radioarticolo1.it/audio/2016/08/30/29220/scossa-solidale-con-b-santus-f-chiavacci-c-lizza-r-muroni-b-costa-s-trasatti
30 August 2016,Radio Città del Capo,Terremoto. Si mobilita l’hacktivismo civico,http://www.radiocittadelcapo.it/archives/terremoto-si-mobilita-lhacktivismo-civico-175752/ 
