Approvato,Nome,Numero,Note,title,text,href,data,ora,pubDate,guid
x,Protezione Civile Nazionale,800840840,,Protezione Civile Nazionale,800840840 ,https://www.facebook.com/groups/1758670357733881#201608241813,24/08/2016,18:13,"Wed, 24 Aug 2016 18:13:00 +0200",201608241813
,Protezione Civile Lazio,803555,,Protezione Civile Lazio,803555 ,https://www.facebook.com/groups/1758670357733881#201608241815,24/08/2016,18:15,"Wed, 24 Aug 2016 18:15:00 +0200",201608241815
x,Protezione Civile Marche,840 001111,Ulteriori info qui http://ln.is/regione.marche.it/Eidg3,Protezione Civile Marche,840 001111 Ulteriori info qui http://ln.is/regione.marche.it/Eidg3,https://www.facebook.com/groups/1758670357733881#201608241818,24/08/2016,18:18,"Wed, 24 Aug 2016 18:18:00 +0200",201608241818
x,Studio MenteCorpo: offerta di supporto psicologico,3476449741,,Studio MenteCorpo: offerta di supporto psicologico,3476449741 ,https://www.facebook.com/groups/1758670357733881#201608241820,24/08/2016,18:20,"Wed, 24 Aug 2016 18:20:00 +0200",201608241820
,Univpm - Facoltà Ingegneria Civile e Ambientale,,Rettore Sauro Longhi. Mettono a disposizione Ingegneri e Architetti per le zone colpite,Univpm - Facoltà Ingegneria Civile e Ambientale, Rettore Sauro Longhi. Mettono a disposizione Ingegneri e Architetti per le zone colpite,https://www.facebook.com/groups/1758670357733881#201608241822,24/08/2016,18:22,"Wed, 24 Aug 2016 18:22:00 +0200",201608241822
,Gus - Gruppo Umana Solidarietà,http://gusitalia.it/emergenza-terremoto-centro-italia/,Servizio di supporto psicologico ,,http://gusitalia.it/emergenza-terremoto-centro-italia/ Servizio di supporto psicologico ,https://www.facebook.com/groups/1758670357733881#201608241843,24/08/2016,18:43,"Wed, 24 Aug 2016 18:43:00 +0200",201608241843
,Università di Camerino,,"Rettore Flavio Corradini; Rita Ortenzi : Hanno attivato geologi e architetti sulla zona del disastro - Corso di laurea in Geologia, coordinati dal prof. Emanuele Tondi,",,,,,,,
,Protezione civile del Comune di Rieti,3488856270 o 3386200349,,,,,,,,
,Comune di Ascoli Piceno,emergenzaterremoto@comune.ascolipiceno.it,"In relazione all'emergenza terremoto, il Comune di Ascoli Piceno ha attivato un indirizzo di posta elettronica al quale inviare le proposte di attività di volontariato. 
Chiunque volesse, in forma individuale o associata, prestare la propria opera di volontariato, conferire materiale di prima necessità (indumenti, coperte, alimenti, acqua ecc.), mettere a disposizione autovetture o alloggi, può inviare una e-mail al seguente indirizzo: emergenzaterremoto@comune.ascolipiceno.it
Le domande verranno poi coordinate dalla Centrale Operativa.",,,,,,,
,Farnesina,06/82888850,Numero emergenza dall'estero,,,,,,,
,Gli Ordini territoriali delle regioni interessate hanno attivato il reclutamento di colleghi con esperienza nel campo delle emergenze,Coord. del GdL Mariano Pizzo (tel. 328-9321254 della Regione Umbria o a mandare una mail alla task force a ordpsiabsismacentroitalia@gmail.com,,,,,,,,
,Protezione Civile Foligno,"0742691207, 3204469349, 347 6302625",,,,,,,,
